Topic,DateTime,URL,Title,Context,title_rn,rn
Cases,2020-02-12 05:02:03.000000 UTC,https://www.thestar.com.my/news/nation/2020/02/12/faster-route-to-covid-19-vaccine-possible-says-virologist,"Faster route to Covid-19 vaccine possible, says virologist","KUALA LUMPUR (Bernama): With the number of cases and deaths due to the novel coronavirus (Covid-19) already surpassing that of SARS, teams around the world are racing to come up with a vaccine. At of Feb 12,2020, the virus has infected 45,194 people and killed 1,114 victims.",1,1
Masks,2020-02-12 08:20:01.000000 UTC,https://www.cbs8.com/article/news/health/coronavirus/coronavirus-vaccine-san-diego/509-e18e37f6-347c-4b08-ad33-910968abb04f,San Diego lab discovers COVID-19 vaccine in 3 hours,"As the days go by, Inovio Pharmaceuticals is getting closer to releasing the desperately needed vaccine against the deadly virus. Inovio Pharmaceuticals, which is located in Sorrento Valley, has also created a vaccine for the Zika virus, the Middle East Respiratory Syndrome (MERS), and the vaccine for Ebola. RELATED: CDC cites label error in mixup involving San Diego COVID-19 patient Dr. Trevor Smith, who is the director of research and development at Inovio, said, ""It's something we are trained to do, and the infrastructure is here and the expertise is in house.""",1,2
Testing,2020-02-12 12:04:53.000000 UTC,https://pharmaphorum.com/news/jj-strengthens-rd-into-covid-19-vaccine-with-us-government/,J&J strengthens R&D into COVID-19 vaccine with US government -,"The collaborative partnership with BARDA builds on J&J's response to the disease – the company is already working with several other partners to develop a vaccine and screen its library of antiviral molecules for treatments that could provide relief for people in China and elsewhere. In the latest agreement J&J's Janssen pharma unit and BARDA will contribute to R&D costs and rapidly advance the initial stages of the COVID-19 vaccine development programme. BARDA will fund accelerated development of a vaccine into phase 1 studies, with options for additional funding to progress a promising candidate.",1,3
Cases,2020-02-12 23:32:12.000000 UTC,https://www.theage.com.au/world/asia/four-vaccine-candidates-for-covid-19-coronavirus-being-studied-20200213-p540dy.html,Coronavirus outbreak: COVID-19 vaccine candidates being studied,"The total death toll in China climbed to 1113. Two other patients have died in the Philippines and Hong Kong. Europe has also been affected by the virus, with confirmed cases in Germany (16), France (11) and Britain (8). The WHO officially named the new disease COVID-19 on Tuesday, as countries continued to impose travel restrictions meant to curb the spread of the virus.",1,4
Cases,2020-02-13 00:18:29.000000 UTC,https://www.watoday.com.au/world/asia/four-vaccine-candidates-for-covid-19-coronavirus-being-studied-20200213-p540dy.html,Coronavirus outbreak: COVID-19 vaccine candidates being studied,"The total death toll in China climbed to 1113. Two other patients have died in the Philippines and Hong Kong. Europe has also been affected by the virus, with confirmed cases in Germany (16), France (11) and Britain (8). The WHO officially named the new disease COVID-19 on Tuesday, as countries continued to impose travel restrictions meant to curb the spread of the virus.",1,1
Masks,2020-02-13 00:48:02.000000 UTC,https://www.wtol.com/article/news/health/coronavirus/coronavirus-vaccine-san-diego/512-e18e37f6-347c-4b08-ad33-910968abb04f,San Diego lab discovers COVID-19 vaccine in 3 hours,"As the days go by, Inovio Pharmaceuticals is getting closer to releasing the desperately needed vaccine against the deadly virus. Inovio Pharmaceuticals, which is located in Sorrento Valley, has also created a vaccine for the Zika virus, the Middle East Respiratory Syndrome (MERS), and the vaccine for Ebola. RELATED: CDC cites label error in mixup involving San Diego COVID-19 patient Dr. Trevor Smith, who is the director of research and development at Inovio, said, ""It's something we are trained to do, and the infrastructure is here and the expertise is in house.""",1,2
Covid19,2020-02-14 06:48:31.000000 UTC,https://www.freemalaysiatoday.com/category/highlight/2020/02/14/who-chief-says-first-covid-19-vaccine-could-be-ready-in-18-months/,WHO chief says first Covid-19 vaccine could be ready in 18 months,"Tedros reiterated the need to use available resources to curb the virus while waiting for the vaccine. (AP pic) GENEVA: World Health Organization (WHO) Director-General Tedros Adhanom Ghebreyesus said that the first vaccines for Covid-19 could be ready in 18 months, reported Xinhua news agency. In the meantime, he tweeted, ""there's a lot we can do to prevent transmission and prepare for any further spread"". Earlier at a press briefing on Tuesday, he told reporters that while the world needs investment in research and development, ""we also need investment in stopping the Covid-19 outbreak now"", adding that the development of vaccines and therapy is an important part of the research agenda. ""We are not defenceless,"" he said. ""There are many basic public health interventions that are availabl",1,1
SocialDistancing,2020-02-14 09:03:30.000000 UTC,https://news.mb.com.ph/2020/02/14/as-scientists-race-to-produce-covid-19-vaccine-who-urges-frequent-hand-washing/,"As scientists race to produce Covid-19 vaccine, WHO urges frequent hand-washing","By Analou De Vera An official of the World Health Organization (WHO) has reminded the public anew to always practice basic protective measures as these are important when it comes to preventing the spread of diseases. Dr. Rabindra Abeyasinghe (WHO Philippines official facebook page/ MANILA BULLETIN FILE PHOTO) WHO Country Representative Dr. Rabindra Abeyasinghe emphasized the importance of frequent hand-washing, maintaining social distancing, and cough etiquette following the health concerns brought about by the Coronavirus Disease 2019 (Covid-19). ""We have tried and tested measures that have been proven to be effective in controlling and preventing the spread of previous coronavirus diseases, and that is the basis on which we continue to advocate for personal hygiene, cough etiquette, and",1,2
Masks,2020-02-14 16:03:44.000000 UTC,https://www.13newsnow.com/article/news/health/coronavirus/coronavirus-vaccine-san-diego/509-e18e37f6-347c-4b08-ad33-910968abb04f,San Diego lab discovers COVID-19 vaccine in 3 hours,"As the days go by, Inovio Pharmaceuticals is getting closer to releasing the desperately needed vaccine against the deadly virus. Inovio Pharmaceuticals, which is located in Sorrento Valley, has also created a vaccine for the Zika virus, the Middle East Respiratory Syndrome (MERS), and the vaccine for Ebola. RELATED: CDC cites label error in mixup involving San Diego COVID-19 patient Dr. Trevor Smith, who is the director of research and development at Inovio, said, ""It's something we are trained to do, and the infrastructure is here and the expertise is in house.""",1,3
Quarantine,2020-02-14 22:47:53.000000 UTC,https://www.theepochtimes.com/china-hobbles-efforts-toward-covid-19-vaccine_3238729.html,China Hobbles Efforts Toward COVID-19 Vaccine,"As former CDC chief Tom Friedman noted recently, ""We still don't have very basic information."" If we are going to get ahead of this disease, if we want to minimize the potential suffering and tragedy caused by the expanding COVID-19 virus outbreak, the one thing that must not be quarantined is information. Everything about it, from its origins to its mutations to studying survivors' immune systems, must be made available.",1,4
