Topic,Title,Context,date,media,country,Security,Symbol,title_sentiment,context_sentiment,sentiment,day_sentiment,sentiment_cat,day_sent_cat,daybefore,dayafter,dayBefore_sent_cat,dayAfter_sent_cat
Cases,"Faster route to Covid-19 vaccine possible, says virologist","KUALA LUMPUR (Bernama): With the number of cases and deaths due to the novel coronavirus (Covid-19) already surpassing that of SARS, teams around the world are racing to come up with a vaccine. At of Feb 12,2020, the virus has infected 45,194 people and killed 1,114 victims.",2020-02-12,thestar.com.my,Malaysia,,,0.0,-0.1625,-0.08125,-0.008153409090909093,negative,negative,2020-02-11,2020-02-13,,-0.004431818181818183
Masks,San Diego lab discovers COVID-19 vaccine in 3 hours,"As the days go by, Inovio Pharmaceuticals is getting closer to releasing the desperately needed vaccine against the deadly virus. Inovio Pharmaceuticals, which is located in Sorrento Valley, has also created a vaccine for the Zika virus, the Middle East Respiratory Syndrome (MERS), and the vaccine for Ebola. RELATED: CDC cites label error in mixup involving San Diego COVID-19 patient Dr. Trevor Smith, who is the director of research and development at Inovio, said, ""It's something we are trained to do, and the infrastructure is here and the expertise is in house.""",2020-02-12,cbs8.com,Global,,,0.0,-0.2,-0.1,-0.008153409090909093,negative,negative,2020-02-11,2020-02-13,,-0.004431818181818183
Testing,J&J strengthens R&D into COVID-19 vaccine with US government -,"The collaborative partnership with BARDA builds on J&J's response to the disease – the company is already working with several other partners to develop a vaccine and screen its library of antiviral molecules for treatments that could provide relief for people in China and elsewhere. In the latest agreement J&J's Janssen pharma unit and BARDA will contribute to R&D costs and rapidly advance the initial stages of the COVID-19 vaccine development programme. BARDA will fund accelerated development of a vaccine into phase 1 studies, with options for additional funding to progress a promising candidate.",2020-02-12,pharmaphorum.com,Global,,,0.0,0.11499999999999999,0.057499999999999996,-0.008153409090909093,positive,negative,2020-02-11,2020-02-13,,-0.004431818181818183
Cases,Coronavirus outbreak: COVID-19 vaccine candidates being studied,"The total death toll in China climbed to 1113. Two other patients have died in the Philippines and Hong Kong. Europe has also been affected by the virus, with confirmed cases in Germany (16), France (11) and Britain (8). The WHO officially named the new disease COVID-19 on Tuesday, as countries continued to impose travel restrictions meant to curb the spread of the virus.",2020-02-12,theage.com.au,Australia,,,0.0,0.18227272727272728,0.09113636363636364,-0.008153409090909093,positive,negative,2020-02-11,2020-02-13,,-0.004431818181818183
Cases,Coronavirus outbreak: COVID-19 vaccine candidates being studied,"The total death toll in China climbed to 1113. Two other patients have died in the Philippines and Hong Kong. Europe has also been affected by the virus, with confirmed cases in Germany (16), France (11) and Britain (8). The WHO officially named the new disease COVID-19 on Tuesday, as countries continued to impose travel restrictions meant to curb the spread of the virus.",2020-02-13,watoday.com.au,Australia,,,0.0,0.18227272727272728,0.09113636363636364,-0.004431818181818183,positive,negative,2020-02-12,2020-02-14,-0.008153409090909093,0.06335648148148149
Masks,San Diego lab discovers COVID-19 vaccine in 3 hours,"As the days go by, Inovio Pharmaceuticals is getting closer to releasing the desperately needed vaccine against the deadly virus. Inovio Pharmaceuticals, which is located in Sorrento Valley, has also created a vaccine for the Zika virus, the Middle East Respiratory Syndrome (MERS), and the vaccine for Ebola. RELATED: CDC cites label error in mixup involving San Diego COVID-19 patient Dr. Trevor Smith, who is the director of research and development at Inovio, said, ""It's something we are trained to do, and the infrastructure is here and the expertise is in house.""",2020-02-13,wtol.com,Global,,,0.0,-0.2,-0.1,-0.004431818181818183,negative,negative,2020-02-12,2020-02-14,-0.008153409090909093,0.06335648148148149
Covid19,WHO chief says first Covid-19 vaccine could be ready in 18 months,"Tedros reiterated the need to use available resources to curb the virus while waiting for the vaccine. (AP pic) GENEVA: World Health Organization (WHO) Director-General Tedros Adhanom Ghebreyesus said that the first vaccines for Covid-19 could be ready in 18 months, reported Xinhua news agency. In the meantime, he tweeted, ""there's a lot we can do to prevent transmission and prepare for any further spread"". Earlier at a press briefing on Tuesday, he told reporters that while the world needs investment in research and development, ""we also need investment in stopping the Covid-19 outbreak now"", adding that the development of vaccines and therapy is an important part of the research agenda. ""We are not defenceless,"" he said. ""There are many basic public health interventions that are availabl",2020-02-14,freemalaysiatoday.com,Global,,,0.225,0.19444444444444445,0.20972222222222223,0.06335648148148149,positive,positive,2020-02-13,2020-02-15,-0.004431818181818183,
SocialDistancing,"As scientists race to produce Covid-19 vaccine, WHO urges frequent hand-washing","By Analou De Vera An official of the World Health Organization (WHO) has reminded the public anew to always practice basic protective measures as these are important when it comes to preventing the spread of diseases. Dr. Rabindra Abeyasinghe (WHO Philippines official facebook page/ MANILA BULLETIN FILE PHOTO) WHO Country Representative Dr. Rabindra Abeyasinghe emphasized the importance of frequent hand-washing, maintaining social distancing, and cough etiquette following the health concerns brought about by the Coronavirus Disease 2019 (Covid-19). ""We have tried and tested measures that have been proven to be effective in controlling and preventing the spread of previous coronavirus diseases, and that is the basis on which we continue to advocate for personal hygiene, cough etiquette, and",2020-02-14,news.mb.com.ph,Philippines,,,0.1,0.10740740740740741,0.10370370370370371,0.06335648148148149,positive,positive,2020-02-13,2020-02-15,-0.004431818181818183,
Masks,San Diego lab discovers COVID-19 vaccine in 3 hours,"As the days go by, Inovio Pharmaceuticals is getting closer to releasing the desperately needed vaccine against the deadly virus. Inovio Pharmaceuticals, which is located in Sorrento Valley, has also created a vaccine for the Zika virus, the Middle East Respiratory Syndrome (MERS), and the vaccine for Ebola. RELATED: CDC cites label error in mixup involving San Diego COVID-19 patient Dr. Trevor Smith, who is the director of research and development at Inovio, said, ""It's something we are trained to do, and the infrastructure is here and the expertise is in house.""",2020-02-14,13newsnow.com,Global,,,0.0,-0.2,-0.1,0.06335648148148149,negative,positive,2020-02-13,2020-02-15,-0.004431818181818183,
Quarantine,China Hobbles Efforts Toward COVID-19 Vaccine,"As former CDC chief Tom Friedman noted recently, ""We still don't have very basic information."" If we are going to get ahead of this disease, if we want to minimize the potential suffering and tragedy caused by the expanding COVID-19 virus outbreak, the one thing that must not be quarantined is information. Everything about it, from its origins to its mutations to studying survivors' immune systems, must be made available.",2020-02-14,theepochtimes.com,Global,,,0.0,0.08,0.04,0.06335648148148149,positive,positive,2020-02-13,2020-02-15,-0.004431818181818183,
